Score,Album,Artist,Release Date,Notes (release),Notes (revisit),Year,Tiebreaker
7,"Ok, Computer",Radiohead,5/28/1997,,,1997,
8,Kid A,Radiohead,10/2/2000,,,2000,
6,The College Dropout,Kanye West,2/10/2004,,I appreciate the album but I think I am just too young to really get the gist of it.,2004,
9,Graduation,Kanye West,9/11/2007,,"Probably the best lyrical work by Kanye, production is obviously amazing as well. Really feel like the peak and caps off the trilogy excellently.",2007,
8,My Beautiful Dark Twisted Fantasy,Kanye West,11/22/2010,,,2010,
7,Section .80,Kendrick Lamar,7/2/2011,,,2011,
7,The Carter IV,Lil Wayne,8/29/2011,,,2011,
6,Sideline Story,J. Cole,9/27/2011,,,2011,
7,Channel Orange,Frank Ocean,6/10/2012,,,2012,
7,1999,Joey Bada$$,6/12/2012,,,2012,
8,good kid m.a.a.d city,Kendrick Lamar,10/8/2012,,,2012,
7,LIVE.LOVE.A$AP,A$AP Rocky,1/15/2013,,,2013,
10,Acid Rap,Chance the Rapper,4/30/2013,,"Incredibly formative album for me, really sparked my interest for hip-hop. Incredibly mature for a sophomore album, and wholly unique. No one else could have made this album and no one has been able to make something like it since (not even Chance.)",2013,
8,Yeezus,Kanye West,6/18/2013,,,2013,
8,AM,Artic Monkeys,9/9/2013,,,2013,
6,You're Gonna Miss It All,Modern Baseball,2/11/2014,,,2014,
6,Faces,Mac Miller,5/11/2014,,,2014,
7,The Waters,Mick Jenkins,8/12/2014,,,2014,
8,Worlds,Porter Robinson,8/12/2014,,,2014,
8,Under Pressure,Logic,10/21/2014,,,2014,
9,If You're Reading this it's too Late,Drake,2/13/2015,,"Truly Drake at his best. Something clicked lyrically and every song was just so catchy. Album does not say too much but it does solidify himself as a ""rapper"" despite all of the fraud allegations.",2015,
9,To Pimp a Butterfly,Kendrick Lamar,3/15/2015,,"One of the most influential albums of our generation. Instant classic, and I go back in my mind between 9 and 10. I place it at 9 though because I think there are just some aspects of the album that almost transcend music and in that way it becomes difficult to rate from a listening standpoint. ",2015,1
6,DS2,Future,7/17/2015,,The beats and Future's delivery on this project are near perfection.,2015,
8,What a Time to be Alive,"Drake, Future",9/20/2015,,This is maybe the most insane collaborative album. I feel like it encompasses the 2015-2017 era of music so perfectly.,2015,
8,2014 Forest Hills Drive,J. Cole,12/9/2015,,"NO FEATURES. But truly, making such an impressive album with no features especially during this time period is insanely impressive and truly solidified J. Cole as a major player in the rap scene,",2015,
7,Death of a Bachelor,Panic! at the Disco,1/15/2016,,,2016,
7,Evol,Future,2/6/2016,,,2016,
9,The Life of Pablo,Kanye West,2/14/2016,,"I think this is one of the only times where I listen to Kanye and he does not sound angry. This album, similar to What a Time to be Alive, really does encapsulate the time of release really well. All it is missing is a Drake feature and it would be a perfect time stamps for 2016. Kanye is at his best lyrically and maybe his most mentally stable. He is rapping with nothing to prove and sounds like he is actively enjoying music creation. It is sad to see that we will likely never get more from Kanye in this form",2016,
6,ColleGrove,"2 Chainz, Lil Wayne",3/3/2016,,,2016,
6,Untitled Unmastered,Kendrick Lamar,3/4/2016,,,2016,
6,TRBL,DEAN,3/24/2016,,,2016,
5,Twenty88,"Big Sean, Jhene Akko",4/1/2016,,,2016,
9,Lemonade,Beyonce,4/23/16,,,2016,
5,Views,Drake,4/29/2016,,,2016,
7,Coloring Book,Chance the Rapper,5/13/2016,,,2016,
6,There's A lot Going On,Vic Mensa,6/3/2016,,,2016,
6,Still Brazy,YG,6/14/2016,,,2016,
8,Blank Face LP,ScHoolboy Q,7/8/2016,,,2016,
5,Savage Mode,21 Savage,7/15/2016,,,2016,
7,Everybody Looking,Gucci Mane,7/22/2016,,,2016,
6,Major Key,DJ Khaled,8/5/2016,,,2016,
10,Blonde,Frank Ocean,8/20/2016,,This album has influenced an entire generation. It tells so many beautiful stories throughout it and is truly a masterpiece.,2016,
6,Jeffery,Young Thug,8/26/2016,,,2016,
6,The Sun's Tirade,Isiah Rashad,9/2/2016,,,2016,
7,Birds in the Trap Sing McKnight,Travis Scott,9/2/2016,,,2016,
5,The Divine Feminine,Mac Miller,9/16/2016,,,2016,
6,The Healing Component,Mick Jenkins,9/23/2016,,,2016,
6,FREE 6LACK,6lack,11/18/2016,,,2016,
9,"Awaken, My Love",Childish Gambino,12/2/2016,,"This album came out of nowhere and is such an incredible union of jazz, rap, trap. Gambino is so talented and i really wish he had pursued music more but I understand he has many talents",2016,
8,4 Your Eyez Only,J. Cole,12/9/2016,,,2016,
4,"Passion, Pain & Demon Slayin'",Kid Cudi,12/16/2016,,,2016,
7,Culture,Migos,1/27/2017,,,2017,
5,I Decided.,Big Sean,2/3/2017,,,2017,
5,CASTLES II,"Lil Peep, Lil Tracy",2/7/2017,,,2017,
6,Nav,Nav,2/24/2017,,,2017,
7,The Never Story,JID,3/10/2017,,,2017,
6,Blkswn,Simon,3/14/2017,,,2017,
6,More Life,Drake,3/18/2017,,,2017,
7,All-Amerikkkan Badass,Joey Bada$$,4/7/2017,,,2017,
7,DAMN.,Kendrick Lamar,4/14/2017,,,2017,
6,Playboi Carti,Playboi Carti,4/14/2017,,,2017,
7,Sebastian,Yeek,4/28/2017,,,2017,
5,Everybody,Logic,5/5/2017,,,2017,
5,True to Self,Bryson Tiller,5/26/2017,,,2017,
6,Saturation,BROCKHAMPTON,6/9/2017,,,2017,
9,Ctrl,SZA,6/9/2017,,,2017,
4,Grateful,DJ Khaled,6/23/2017,,,2017,
7,Big Fish Theory,Vince Staples,6/23/2017,,,2017,
8,4:44,Jay-Z,6/30/2017,,,2017,1
5,Issa Album,21 Savage,7/7/2017,,,2017,
8,Flower Boy,Tyler the Creator,7/21/2017,,,2017,
6,The Autobiography,Vic Mensa,7/28/2017,,,2017,
6,"Come Over When You're Sober, Pt. 2",Lil Peep,8/15/2017,,,2017,
6,SATURATION II,BROCKHAMPTON,8/25/2017,,,2017,
7,Freudian,Daniel Caesar,8/25/2017,,,2017,
5,Luv is Rage 2,Lil Uzi Vert,8/25/2017,,,2017,
6,17,XXXTENTACION,8/25/2017,,,2017,
7,Without Warning,"Offset, Metro Boomin, 21 Savage",8/31/2017,,,2017,
5,DIAMONDS,"Lil Peep, ILOVEMAKONEN",9/7/2017,,,2017,
6,Saturation 3,BROCKHAMPTON,12/15/2017,,,2017,
5,Amen,Rich Brian,2/2/2018,,,2018,
6,Black Panther,Kendrick Lamar,2/9/2018,,,2018,
4,Lil Boat 2,Lil Yachty,3/9/2018,,,2018,
5,?,XXXTENTACION,3/16/2018,,,2018,
6,"My Dear, Melancholy ",The Weeknd,3/30/2018,,,2018,
6,KOD,J. Cole,4/20/2018,,,2018,
7,Beerbongs and Bentleys,Post Malone,4/27/2018,,,2018,
8,Die Lit,Playboi Carti,5/11/2018,,,2018,
5,Harder Than Ever,Lil Baby,5/18/2018,,,2018,
6,Goodbye & Good Riddance,Juice WRLD,5/23/2018,,,2018,
7,DAYTONA,Pusha T,5/25/2018,,,2018,
7,Ye,Kanye West,6/1/2018,,,2018,
10,Kids See Ghosts,"Kanye West, Kid Cudi",6/8/2018,,"This whole run from Kanye is insane. To produce 5 albums in 5 weeks is insane, but to be actually rap and perform this well in two of them on top of that is unheard of. He works perfectly with Cudi and the decision to keep (almost) all of these projects to a 7 song limit is incredible. I think this album is perfect with no skips and was really Kanye proving he is capable of everything.",2018,
4,The Manuscript,Vic Mensa,6/8/2018,,,2018,
6,Nasir,Nas,6/14/2018,,,2018,
6,K.T.S.E,Teanna Taylor,6/23/2018,,,2018,
5,Scorpion,Drake,6/29/2018,,,2018,
5,Slime Language,YSL Records,7/17/2018,,,2018,
6,Head in the Clouds,88rising,7/20/2018,,,2018,
7,TA13OO,Denzel Curry,7/27/2018,,,2018,
6,Swimming,Mac Miller,8/3/2018,,,2018,
9,Astroworld,Travis Scott,8/3/2018,,"Travis really at his best. ""Who put this shit together, I'm the glue"" is really iconic. Released one of the most iconic songs of all time in ""Astroworld"". I love the hidden features and I really feel like Travis managed to step away from Kanye on this project and develop his own sound.",2018,
6,ONEPOINTFIVE,Amine,8/15/2018,,,2018,
4,Kamikaze,Eminem,8/31/2018,,,2018,
5,East Atlanta Love Letter,6lack,9/14/2018,,,2018,
